idx,en,kr
2001,Player,플레이어
2002,Iron Guard Garon,철위병 가론
2003,Cyber Spearman,사이버 창병
2004,Shadow Ambusher,암영 기습자
2005,Wave Heavy Soldier,파동 중장병
2010,Charging Thrust,돌진 찌르기
2011,Consecutive Barrage,연속 난타
2012,Heavy Slam,묵직한 내려찍기
2013,Shockwave Sweep,충격파 바닥 쓸기
2006,Shield Sentinel,방패 파수병
2007,Orbital Marksman,궤도 사수
2014,Shield Push,방패 밀치기
2015,Vertical Slam,수직 내려치기
2016,Straight Projectile,직선 탄환
2017,Low Projectile,하단 탄환
2020,Slash Effect,베기 효과
2021,Fireball Effect,화염구 효과
2022,Heavy Slash Effect,강공격 베기 효과
2023,Parry Effect,패링 효과
2024,Guard Effect,가드 효과
2025,Dodge Effect,회피 효과
2026,Hit Effect,피격 효과
2030,Basic Attack,기본 공격
2031,Fireball,화염구
2032,Heavy Attack,강공격
2033,Non-visual Skill,비시각 스킬
2034,Garon Slam,가론 내려찍기
2035,Garon Barrage,가론 연속 난타
2036,Garon Charge,가론 돌진
2037,Garon Shockwave,가론 충격파
2040,Spike Trap,가시 함정
2041,Saw Blade Trap,톱날 함정
2042,Enter Stage 1 through the portal.,Stage 1 포탈을 통해 입장하세요.
2043,Warning: You entered a combat zone.,경고: 전투 구역에 진입했습니다.
